Date;Price;Open;High;Low;Vol.;Change
03/17/2014;606.4;619.1;622.5;602.7;3.58*1000;-2.06*0.01
03/16/2014;619.1;624.0;627.3;613.2;3.30*1000;-0.78*0.01
03/15/2014;624.0;614.0;628.8;609.2;3.46*1000;1.63*0.01
03/14/2014;614.0;625.0;631.2;610.6;4.00*1000;-1.76*0.01
03/13/2014;625.0;619.4;636.1;616.1;3.41*1000;0.91*0.01
03/12/2014;619.4;608.7;640.8;608.2;3.20*1000;1.76*0.01
03/11/2014;608.7;613.0;619.7;599.9;2.43*1000;-0.70*0.01
03/10/2014;613.0;627.0;633.7;594.7;2.63*1000;-2.25*0.01
03/09/2014;627.0;609.2;637.6;598.5;1.95*1000;2.93*0.01
03/08/2014;609.2;616.7;625.7;588.6;2.17*1000;-1.22*0.01
03/07/2014;616.7;648.3;655.2;600.3;2.34*1000;-4.86*0.01
03/06/2014;648.3;658.3;661.8;636.2;2.07*1000;-1.53*0.01
03/05/2014;658.3;661.8;666.0;636.8;1.26*1000;-0.54*0.01
03/04/2014;661.8;662.2;686.2;645.2;1.37*1000;-0.05*0.01
03/03/2014;662.2;544.6;695.4;545.4;1.26*1000;21.60*0.01
03/02/2014;544.6;557.4;562.9;541.5;0.83*1000;-2.30*0.01
03/01/2014;557.4;573.9;564.1;262.8;0.40*1000;-2.88*0.01
02/28/2014;573.9;596.5;599.0;570.0;0.51*1000;-3.78*0.01
02/27/2014;596.5;593.1;629.9;580.5;0.50*1000;0.56*0.01
02/26/2014;593.1;135.8;650.0;522.8;0.60*1000;336.84*0.01
02/25/2014;135.8;174.0;174.6;102.3;30.43*1000;-21.97*0.01
02/24/2014;174.0;310.2;316.9;131.9;95.12*1000;-43.90*0.01
02/23/2014;310.2;255.6;349.1;220.3;38.55*1000;21.35*0.01
02/22/2014;255.6;111.6;290.6;96.7;72.17*1000;129.11*0.01
02/21/2014;111.6;111.9;160.1;91.7;82.59*1000;-0.32*0.01
02/20/2014;111.9;261.5;271.6;109.2;102.18*1000;-57.21*0.01
02/19/2014;261.5;294.0;308.6;257.2;31.50*1000;-11.03*0.01
02/18/2014;294.0;272.3;370.1;248.3;48.88*1000;7.96*0.01
02/17/2014;272.3;299.8;411.2;263.4;51.44*1000;-9.18*0.01
02/16/2014;299.8;371.1;540.0;220.4;86.18*1000;-19.21*0.01
02/15/2014;371.1;427.7;447.9;310.1;50.62*1000;-13.24*0.01
02/14/2014;427.7;451.4;500.0;302.2;65.82*1000;-5.26*0.01
02/13/2014;451.4;531.1;549.2;451.3;28.94*1000;-15.00*0.01
02/12/2014;531.1;579.0;585.1;511.9;21.30*1000;-8.26*0.01
02/11/2014;579.0;582.6;609.7;550.2;16.73*1000;-0.63*0.01
02/10/2014;582.6;659.6;700.0;500.0;40.13*1000;-11.67*0.01
02/09/2014;659.6;648.8;694.1;622.5;19.89*1000;1.66*0.01
02/08/2014;648.8;695.7;719.3;632.1;22.88*1000;-6.74*0.01
02/07/2014;695.7;828.9;833.1;651.7;49.91*1000;-16.07*0.01
02/06/2014;828.9;904.5;908.8;800.9;18.60*1000;-8.36*0.01
02/05/2014;904.5;926.6;939.8;890.0;7.56*1000;-2.39*0.01
02/04/2014;926.6;931.7;949.1;900.8;4.61*1000;-0.54*0.01
02/03/2014;931.7;953.3;959.6;931.7;2.79*1000;-2.27*0.01
02/02/2014;953.3;940.4;959.4;934.4;1.58*1000;1.37*0.01
02/01/2014;940.4;938.8;969.2;927.8;4.37*1000;0.17*0.01
01/31/2014;938.8;941.4;954.7;924.6;4.31*1000;-0.27*0.01
01/30/2014;941.4;925.7;953.2;909.5;5.43*1000;1.70*0.01
01/29/2014;925.7;932.7;950.6;918.9;5.68*1000;-0.75*0.01
01/28/2014;932.7;943.5;972.6;911.7;10.41*1000;-1.15*0.01
01/27/2014;943.5;1007.0;1021.5;937.2;8.33*1000;-6.30*0.01
01/26/2014;1007.0;961.0;1038.1;950.7;13.07*1000;4.78*0.01
01/25/2014;961.0;916.5;978.4;915.9;8.18*1000;4.86*0.01
01/24/2014;916.5;944.2;949.5;902.9;6.20*1000;-2.92*0.01
01/23/2014;944.2;951.0;958.1;936.3;1.97*1000;-0.71*0.01
01/22/2014;951.0;962.2;973.9;935.0;4.78*1000;-1.17*0.01
01/21/2014;962.2;956.0;974.3;943.2;6.59*1000;0.65*0.01
01/20/2014;956.0;954.8;980.5;926.0;10.41*1000;0.12*0.01
01/19/2014;954.8;905.7;958.1;901.9;7.57*1000;5.42*0.01
01/18/2014;905.7;894.2;924.7;884.7;6.04*1000;1.29*0.01
01/17/2014;894.2;913.5;929.8;867.2;10.31*1000;-2.12*0.01
01/16/2014;913.5;941.2;955.5;910.5;5.10*1000;-2.95*0.01
01/15/2014;941.2;919.3;973.1;915.1;6.83*1000;2.39*0.01
01/14/2014;919.3;922.9;942.5;904.2;4.31*1000;-0.39*0.01
01/13/2014;922.9;939.8;949.2;879.9;10.13*1000;-1.80*0.01
01/12/2014;939.8;1005.3;1022.7;922.1;9.93*1000;-6.52*0.01
01/11/2014;1005.3;957.8;1010.8;935.0;11.18*1000;4.97*0.01
01/10/2014;957.8;937.0;964.8;905.9;6.35*1000;2.22*0.01
01/09/2014;937.0;938.8;964.6;866.5;14.42*1000;-0.20*0.01
01/08/2014;938.8;879.9;966.9;858.9;14.10*1000;6.70*0.01
01/07/2014;879.9;1012.7;1044.0;879.8;22.67*1000;-13.11*0.01
01/06/2014;1012.7;1014.7;1093.4;964.7;23.08*1000;-0.21*0.01
01/05/2014;1014.7;924.7;1029.9;911.4;21.37*1000;9.74*0.01
01/04/2014;924.7;884.3;932.2;848.3;14.24*1000;4.57*0.01
01/03/2014;884.3;856.9;888.2;839.4;9.71*1000;3.19*0.01
01/02/2014;856.9;815.9;886.2;810.5;12.81*1000;5.02*0.01
01/01/2014;815.9;805.9;829.9;771.0;10.76*1000;1.24*0.01
12/31/2013;805.9;804.8;813.9;777.0;9.17*1000;0.14*0.01
12/30/2013;804.8;785.0;818.8;781.0;10.48*1000;2.53*0.01
12/29/2013;785.0;762.0;804.0;735.0;7.04*1000;3.01*0.01
12/28/2013;762.0;803.0;806.0;715.6;13.34*1000;-5.11*0.01
12/27/2013;803.0;802.0;836.8;767.9;13.89*1000;0.13*0.01
12/26/2013;802.0;707.3;829.6;707.2;23.53*1000;13.39*0.01
12/25/2013;707.3;702.8;710.0;673.9;5.34*1000;0.64*0.01
12/24/2013;702.8;713.2;729.9;666.0;10.95*1000;-1.47*0.01
12/23/2013;713.2;639.5;724.9;631.0;15.07*1000;11.53*0.01
12/22/2013;639.5;640.5;699.9;615.0;11.63*1000;-0.15*0.01
12/21/2013;640.5;650.0;690.0;610.0;14.73*1000;-1.46*0.01
12/20/2013;650.0;732.0;774.4;621.3;34.77*1000;-11.20*0.01
12/19/2013;732.0;541.0;746.0;522.4;45.76*1000;35.30*0.01
12/18/2013;541.0;715.0;717.0;454.9;110.50*1000;-24.34*0.01
12/17/2013;715.0;759.9;780.0;678.9;31.71*1000;-5.92*0.01
12/16/2013;759.9;919.9;924.9;714.0;41.33*1000;-17.39*0.01
12/15/2013;919.9;908.9;927.9;838.0;15.17*1000;1.20*0.01
12/14/2013;908.9;936.8;947.9;875.1;11.59*1000;-2.97*0.01
12/13/2013;936.8;900.0;989.9;882.1;17.37*1000;4.09*0.01
12/12/2013;900.0;919.9;941.0;839.5;9.91*1000;-2.17*0.01
12/11/2013;919.9;1033.7;1056.8;856.1;24.36*1000;-11.01*0.01
12/10/2013;1033.7;919.0;1067.7;912.0;22.10*1000;12.49*0.01
12/09/2013;919.0;804.0;980.0;787.7;27.63*1000;14.30*0.01
12/08/2013;804.0;697.0;829.0;653.0;31.21*1000;15.34*0.01
12/07/2013;697.0;845.0;896.0;576.0;97.66*1000;-17.51*0.01
12/06/2013;845.0;1106.3;1118.9;800.1;53.52*1000;-23.62*0.01
12/05/2013;1106.3;1237.6;1239.9;870.0;58.44*1000;-10.60*0.01
12/04/2013;1237.6;1154.9;1239.7;1131.3;16.30*1000;7.16*0.01
12/03/2013;1154.9;1096.6;1185.6;1064.9;19.34*1000;5.32*0.01
12/02/2013;1096.6;1004.4;1117.7;975.0;37.05*1000;9.18*0.01
12/01/2013;1004.4;1205.7;1216.8;840.3;79.92*1000;-16.69*0.01
11/30/2013;1205.7;1206.9;1232.9;1150.2;15.10*1000;-0.11*0.01
11/29/2013;1206.9;1101.4;1241.9;1050.0;38.71*1000;9.58*0.01
11/28/2013;1101.4;1079.9;1224.5;1032.1;37.40*1000;1.99*0.01
11/27/2013;1079.9;970.0;1094.8;914.3;37.86*1000;11.33*0.01
11/26/2013;970.0;830.0;975.0;825.1;31.61*1000;16.86*0.01
11/25/2013;830.0;795.0;850.0;759.0;26.38*1000;4.40*0.01
11/24/2013;795.0;832.5;855.0;745.2;25.95*1000;-4.50*0.01
11/23/2013;832.5;802.0;890.0;799.5;21.31*1000;3.80*0.01
11/22/2013;802.0;764.9;822.0;682.3;30.15*1000;4.85*0.01
11/21/2013;764.9;638.0;784.3;595.2;38.73*1000;19.90*0.01
11/20/2013;638.0;645.7;650.0;453.3;91.59*1000;-1.20*0.01
11/19/2013;645.7;785.4;900.9;502.6;99.10*1000;-17.79*0.01
11/18/2013;785.4;528.3;787.9;522.0;72.07*1000;48.67*0.01
11/17/2013;528.3;462.0;536.8;457.0;26.72*1000;14.36*0.01
11/16/2013;462.0;433.9;476.9;428.0;19.14*1000;6.46*0.01
11/15/2013;433.9;433.4;457.9;413.0;28.13*1000;0.12*0.01
11/14/2013;433.4;434.9;447.5;402.5;31.41*1000;-0.33*0.01
11/13/2013;434.9;380.0;445.0;372.2;36.02*1000;14.42*0.01
11/12/2013;380.0;363.0;391.8;359.0;22.03*1000;4.70*0.01
11/11/2013;363.0;336.3;376.0;321.4;18.00*1000;7.93*0.01
11/10/2013;336.3;367.8;372.5;290.0;74.25*1000;-8.56*0.01
11/09/2013;367.8;355.0;395.0;340.0;49.91*1000;3.60*0.01
11/08/2013;355.0;309.6;358.0;308.0;44.63*1000;14.65*0.01
11/07/2013;309.6;264.1;324.2;263.6;86.13*1000;17.25*0.01
11/06/2013;264.1;251.3;272.5;251.4;38.82*1000;5.09*0.01
11/05/2013;251.3;238.2;258.9;229.0;45.10*1000;5.52*0.01
11/04/2013;238.2;224.0;239.0;221.9;18.06*1000;6.32*0.01
11/03/2013;224.0;211.7;226.9;212.1;12.27*1000;5.82*0.01
11/02/2013;211.7;213.4;214.9;211.0;4.88*1000;-0.82*0.01
11/01/2013;213.4;211.2;214.9;209.7;5.88*1000;1.07*0.01
10/31/2013;211.2;208.0;215.0;205.4;5.29*1000;1.52*0.01
10/30/2013;208.0;216.0;216.5;204.0;13.47*1000;-3.70*0.01
10/29/2013;216.0;206.9;216.5;204.2;10.02*1000;4.40*0.01
10/28/2013;206.9;206.9;209.8;200.4;11.07*1000;0.00*0.01
10/27/2013;206.9;188.6;207.8;188.9;13.16*1000;9.73*0.01
10/26/2013;188.6;197.9;198.4;187.0;12.09*1000;-4.71*0.01
10/25/2013;197.9;207.0;209.0;176.6;36.75*1000;-4.40*0.01
10/24/2013;207.0;228.0;233.4;175.3;96.75*1000;-9.21*0.01
10/23/2013;228.0;203.0;228.0;200.7;39.90*1000;12.31*0.01
10/22/2013;203.0;192.8;205.5;192.8;33.87*1000;5.30*0.01
10/21/2013;192.8;186.1;197.4;183.2;24.10*1000;3.59*0.01
10/20/2013;186.1;183.1;186.1;177.2;11.42*1000;1.61*0.01
10/19/2013;183.1;168.3;195.8;167.1;55.28*1000;8.84*0.01
